prompt,response
What are the timings of sports complex?,6 am to 8 am and 4:45 pm to 7:00 pm
what are the swiming timings for men?,6am-7am and 5pm to 6pm
what are the swiming timings for women?,7am-8am and 6pm to 7pm
what are hostels visiting timings?,10 am to 5pm
hostel timings ?,6am to 7pm
what is library timings?,"All Working Days : 9:00Am to 11:00 PM, Second Saturday & Sundays : 09:30 Am to 4:30 PM and closed on Public Holidays"
From where should we receive memos?,In SIT building
About JNTUH college?,"Jawaharlal Nehru Technological University College of Engineering Hyderabad (Autonomous), formerly known as Nagarjuna Sagar Engineering College, was established in 1965 by the Government of Andhra Pradesh and administrated under the control of the Department of Technical Education and affiliated to Osmania University, Hyderabad. With the formation of Jawaharlal Nehru Technological University(JNTU) on 2nd October 1972, the college was made as a constituent college of the University and eventually renamed as JNTU College of Engineering, Hyderabad."
What are the documents required to submit while admissions?,"10th class memo, inter memo, caste certificate, aadhar Xerox,eamcet rank card, allotment letter, joining letter"
How can I contact campus security?,Dial the security hotline number available on your ID card.
What is the fee for late book returns?,The late fee is $0.50 per day per book.
What is the cost of a meal in the cafeteria?,The average meal costs around $5 to $7.
Where can I park my bike?,There is a bike parking area near the main entrance.
How do I join the student council?,Submit an application during the student council elections.
Where can I get a transcript of my grades?,Request transcripts at the registrar’s office.
Are there lockers available for students?,"Yes, lockers can be rented from the administration office."
Are there any vegan options in the cafeteria?,"Yes, vegan meals are available on request."
What is the procedure to apply for a library card?,Fill out the application form at the library reception.
Are pets allowed on campus?,"No, pets are not permitted on campus grounds."
What is the deadline to apply for scholarships?,Scholarship deadlines vary; check the website for details.
How do I apply for a research grant?,Submit a proposal through the university's research office.
Can visitors use the library facilities?,"Yes, visitors can use library facilities with a guest pass."
Where can I find information on upcoming events?,Events are posted on the bulletin board and the university website.
How can I get a duplicate ID card?,Apply for a duplicate at the administration office with a fee.
What are the gym opening hours?,The gym is open from 6 am to 10 pm daily.
How do I access Wi-Fi on campus?,Login with your student credentials; guest access is also available.
How do I change my course schedule?,Contact the registrar’s office for schedule changes.
What is the dress code for lab classes?,Lab coats and closed-toe shoes are required in lab classes.
Is there a lost and found service?,"Yes, lost items are handed to the security desk at the main gate."
Where can I find first aid on campus?,Visit the campus health center or contact security for assistance.
Are there part-time job opportunities on campus?,"Yes, check the job board or speak to the career center."
Are laptops allowed in the library?,"Yes, laptops are allowed in designated areas of the library."
Is there a shuttle service on campus?,"Yes, the campus shuttle operates from 8 am to 8 pm."
Is smoking allowed on campus?,"No, smoking is prohibited in all campus areas."
How do I access the online learning portal?,Login with your student ID and password on the website.
What is the process for joining a club?,Attend the club orientation or register during club day.
Can I book a study room in the library?,"Yes, study rooms can be booked at the library reception."
How can I reset my email password?,Visit the IT support office or reset through the university portal.
Where can I find help with my assignments?,Visit the academic support center or ask your professor.
